Q_HC,T_op,T_ext,Q_H,Q_C
5785.509902493018,19.999999999999996,0.54,5785.509902493018,0.0
5196.910909818564,19.999999999999986,0.68,5196.910909818564,0.0
5160.7607251524805,20.0,0.82,5160.7607251524805,0.0
5127.435384147408,20.0,0.95,5127.435384147408,0.0
5091.042511867883,20.00000000000001,1.09,5091.042511867883,0.0
5054.892327201788,19.999999999999993,1.23,5054.892327201788,0.0
4437.710572045603,19.999999999999993,1.37,4437.710572045603,0.0
4330.6661626535115,19.999999999999993,1.51,4330.6661626535115,0.0
3975.146865723193,20.000000000000007,1.65,3975.146865723193,0.0
2744.521348505519,20.0,1.77,2744.521348505519,0.0
2932.788344976227,20.000000000000007,2.34,2932.788344976227,0.0
2948.7885959664804,20.000000000000004,2.61,2948.7885959664804,0.0
2713.9287718967653,19.99999999999999,2.67,2713.9287718967653,0.0
2860.3349880986257,20.000000000000007,2.47,2860.3349880986257,0.0
3142.007494782538,20.000000000000007,2.36,3142.007494782538,0.0
3008.298718393424,19.999999999999993,1.83,3008.298718393424,0.0
4482.518667566861,19.999999999999993,1.68,4482.518667566861,0.0
4313.990671215659,20.0,1.61,4313.990671215659,0.0
4329.272749761909,20.0,1.56,4329.272749761909,0.0
4662.095102409128,20.0,1.48,4662.095102409128,0.0
4681.788383735245,19.999999999999996,1.44,4681.788383735245,0.0
4715.434793713734,19.999999999999993,1.31,4715.434793713734,0.0
5036.079222883327,20.0,1.21,5036.079222883327,0.0
5031.641084440107,20.0,1.22,5031.641084440107,0.0
5063.312853894064,20.0,1.22,5063.312853894064,0.0
5072.171484481572,19.999999999999993,1.18,5072.171484481572,0.0
5068.37589036681,20.0,1.19,5068.37589036681,0.0
5142.064513166666,19.999999999999986,0.93,5142.064513166666,0.0
5189.4266647765735,20.0,0.74,5189.4266647765735,0.0
5249.787004324603,19.999999999999986,0.51,5249.787004324603,0.0
4717.882395567784,19.999999999999993,0.14,4717.882395567784,0.0
4801.730900507719,20.0,-0.56,4801.730900507719,0.0
4759.745477748731,19.999999999999993,-1.38,4759.745477748731,0.0
3241.6601643218214,20.000000000000007,1.21,3241.6601643218214,0.0
2258.8162481463696,19.999999999999993,2.66,2258.8162481463696,0.0
2353.472800266092,20.000000000000014,4.32,2353.472800266092,0.0
661.7769632646279,20.000000000000004,5.16,661.7769632646279,0.0
871.7020112182943,20.000000000000014,5.9,871.7020112182943,0.0
1197.4085688066323,19.999999999999993,6.34,1197.4085688066323,0.0
2017.3786693859608,20.00000000000001,5.82,2017.3786693859608,0.0
3953.2775021951848,20.0,4.47,3953.2775021951848,0.0
4038.0774495117953,20.000000000000007,3.03,4038.0774495117953,0.0
4363.734390870182,20.0,1.56,4363.734390870182,0.0
5045.546725658557,20.0,0.04,5045.546725658557,0.0
5336.52171755012,19.999999999999993,-1.15,5336.52171755012,0.0
5584.579175008856,20.0,-2.19,5584.579175008856,0.0
6030.228836687995,20.000000000000014,-2.61,6030.228836687995,0.0
6147.967503021473,20.0,-3.06,6147.967503021473,0.0
6162.8259549352315,20.0,-3.04,6162.8259549352315,0.0
6121.322774851335,20.000000000000007,-2.9,6121.322774851335,0.0
6178.392430998779,19.99999999999999,-3.09,6178.392430998779,0.0
6179.431053665475,19.999999999999993,-3.11,6179.431053665475,0.0
6187.42020942166,20.0,-3.14,6187.42020942166,0.0
6183.867302920319,20.0,-3.13,6183.867302920319,0.0
5391.806539091378,20.000000000000018,-3.01,5391.806539091378,0.0
5335.094250126753,20.000000000000004,-3.08,5335.094250126753,0.0
5044.308916869786,20.000000000000007,-2.63,5044.308916869786,0.0
3730.3658578090713,20.000000000000007,-0.87,3730.3658578090713,0.0
2560.8977347185278,19.999999999999986,2.55,2560.8977347185278,0.0
2383.718491123937,19.999999999999996,5.58,2383.718491123937,0.0
336.84085630306186,20.0,7.25,336.84085630306186,0.0
367.89350326458043,20.000000000000007,7.84,367.89350326458043,0.0
962.0239069741476,20.0,7.71,962.0239069741476,0.0
1840.1643285270386,20.0,6.93,1840.1643285270386,0.0
3552.3751857237016,20.0,6.22,3552.3751857237016,0.0
3502.196283702145,20.0,5.42,3502.196283702145,0.0
3715.1315528120062,19.99999999999999,4.48,3715.1315528120062,0.0
4474.662611538767,19.999999999999986,2.45,4474.662611538767,0.0
5256.540790659848,20.000000000000007,-0.63,5256.540790659848,0.0
5349.553090892398,20.0,-1.26,5349.553090892398,0.0
5815.511917212424,19.999999999999996,-1.77,5815.511917212424,0.0
5851.970772516509,19.999999999999993,-1.94,5851.970772516509,0.0
5952.720100114997,20.000000000000007,-2.2,5952.720100114997,0.0
6008.940882312416,20.000000000000007,-2.43,6008.940882312416,0.0
6003.359067203322,20.0,-2.43,6003.359067203322,0.0
5870.591415135567,20.0,-1.96,5870.591415135567,0.0
5766.17914286552,20.0,-1.55,5766.17914286552,0.0
5665.960432236874,20.0,-1.16,5665.960432236874,0.0
4887.883188977276,19.999999999999993,-0.73,4887.883188977276,0.0
4700.7610135388795,20.0,-0.23,4700.7610135388795,0.0
4530.5100356129215,20.0,-0.4,4530.5100356129215,0.0
3929.2081792414206,19.99999999999999,0.18,3929.2081792414206,0.0
3436.026636083483,19.99999999999999,1.11,3436.026636083483,0.0
